incident_id,detected_at,asset_id,user_id,threat_actor_id,attack_vector,severity,status,mttr_hours,time_to_detect_hours,time_to_contain_hours,cost_usd,data_sensitivity,detection_source,alert_count,cvss_like,mitre_tactic,mitre_technique,severity_score,risk_score,mttr_bucket,date,hour
1236,2023-10-23 17:55:00,9,163,9,Malware,High,Closed,1,3,22,11403.94,Public,Edr,2,2.6,Discovery,T1190,3,4.153,<4h,2023-10-23,17
1237,2024-09-11 22:46:00,118,556,28,Malware,Medium,Closed,2,4,6,3737.08,Internal,Waf,8,2.7,Exfiltration,T1041,2,5.581,<4h,2024-09-11,22
1238,2024-06-03 09:41:00,67,306,39,Phishing,High,Closed,3,3,6,740.2,Internal,Ids,2,7.9,Exfiltration,T1055,3,5.9,<4h,2024-06-03,9
1239,2024-07-20 20:04:00,44,291,23,Ransomware,Critical,Closed,6,8,1,8341.82,Confidential,User Report,4,10.0,Impact,T1055,4,12.876,4-24h,2024-07-20,20
1240,2024-06-03 14:51:00,19,452,6,Insider,Low,In Progress,8,4,6,1123.17,Restricted,Ids,2,7.4,Persistence,T1078,1,1.912,4-24h,2024-06-03,14
1241,2025-07-05 17:25:00,230,400,31,Ransomware,Medium,In Progress,6,9,8,3411.72,Restricted,Siem,2,6.0,Command And Control,T1565,2,3.516,4-24h,2025-07-05,17
1242,2023-07-11 00:59:00,232,282,25,Ransomware,High,Closed,5,5,3,5500.92,Internal,Edr,4,9.1,Exfiltration,T1566,3,9.222,4-24h,2023-07-11,0
1243,2025-01-06 20:42:00,237,507,40,Exploitation,Medium,Closed,18,9,2,2120.96,Confidential,Email Gateway,4,8.4,Collection,T1021,2,5.923,4-24h,2025-01-06,20
1244,2024-07-08 04:54:00,295,447,33,Phishing,Medium,In Progress,2,4,3,1919.85,Confidential,User Report,6,5.1,Persistence,T1059,2,5.877,<4h,2024-07-08,4
1245,2023-11-24 16:36:00,101,506,48,Ddos,Low,Closed,11,11,8,1541.61,Restricted,Edr,3,6.5,Impact,T1055,1,2.287,4-24h,2023-11-24,16
1246,2023-11-22 21:33:00,1,409,42,Phishing,Medium,Closed,12,4,18,2542.93,Confidential,Siem,3,6.5,Impact,T1565,2,4.575,4-24h,2023-11-22,21
1247,2025-03-22 07:23:00,27,276,2,Insider,High,Closed,3,2,7,895.34,Public,Waf,5,3.9,Discovery,T1021,3,7.472,<4h,2025-03-22,7
1248,2024-01-26 23:39:00,170,468,37,Phishing,Medium,Closed,6,1,2,4449.94,Public,Edr,3,6.3,Initial Access,T1565,2,4.519,4-24h,2024-01-26,23
1249,2023-05-08 05:17:00,278,181,50,Phishing,Low,Closed,2,15,4,385.93,Confidential,Waf,2,7.0,Discovery,T1210,1,1.868,<4h,2023-05-08,5
1250,2023-10-02 08:11:00,269,403,30,Phishing,High,Closed,31,3,12,6438.78,Internal,Email Gateway,2,4.1,Lateral Movement,T1078,3,4.647,1-3d,2023-10-02,8
1251,2023-05-24 11:52:00,151,191,41,Ransomware,Low,Closed,2,5,3,3072.6,Internal,Siem,7,3.2,Impact,T1059,1,2.745,<4h,2023-05-24,11
1252,2024-11-30 17:47:00,295,276,26,Exploitation,Medium,Closed,8,13,22,3860.86,Internal,Unknown,3,6.9,Privilege Escalation,T1055,2,4.686,4-24h,2024-11-30,17
1253,2025-07-12 18:59:00,53,349,26,Phishing,Medium,Open,2,12,10,1639.55,Internal,Siem,1,6.4,Defense Evasion,T1566,2,2.274,<4h,2025-07-12,18
1254,2024-12-01 21:58:00,168,192,35,Exploitation,Low,Closed,6,3,6,2446.68,Internal,Ids,3,6.0,Collection,T1059,1,2.218,4-24h,2024-12-01,21
1255,2025-07-24 10:24:00,86,590,11,Phishing,Medium,Open,4,3,10,1370.84,Confidential,User Report,1,9.6,Exfiltration,T1078,2,2.717,<4h,2025-07-24,10
1256,2025-06-08 22:14:00,176,543,39,Exploitation,Medium,Open,16,3,6,2051.97,Public,Waf,2,10.0,Discovery,T1566,2,4.394,4-24h,2025-06-08,22
1257,2023-08-17 16:06:00,287,401,24,Exploitation,Low,Closed,21,3,9,1370.74,Internal,Ids,6,6.4,Initial Access,T1565,1,3.191,4-24h,2023-08-17,16
1258,2024-05-16 16:16:00,198,573,21,Ddos,Medium,Open,5,2,7,1954.63,Confidential,Edr,5,4.1,Exfiltration,T1210,2,5.053,4-24h,2024-05-16,16
1259,2025-02-13 15:49:00,148,268,15,Exploitation,Medium,Closed,3,8,25,4230.45,Restricted,Edr,1,5.2,Privilege Escalation,T1041,2,2.107,<4h,2025-02-13,15
1260,2024-10-05 19:07:00,263,591,5,Credential Stuffing,Medium,Closed,10,1,5,2736.1,Internal,Edr,1,6.8,Collection,T1547,2,2.329,4-24h,2024-10-05,19
1261,2024-05-10 05:03:00,102,535,46,Ransomware,Medium,In Progress,7,4,2,36.65,Confidential,Ids,1,4.6,Exfiltration,T1078,2,2.024,4-24h,2024-05-10,5
1262,2023-10-03 01:05:00,187,216,26,Phishing,Low,In Progress,4,6,5,652.71,Internal,Ids,5,1.7,Execution,T1210,1,2.096,<4h,2023-10-03,1
1263,2023-10-28 14:06:00,168,336,13,Exploitation,Medium,Closed,8,10,5,1468.91,Confidential,Edr,1,10.0,Privilege Escalation,T1059,2,2.773,4-24h,2023-10-28,14
1264,2024-01-10 19:56:00,110,430,31,Phishing,High,Closed,1,2,7,1441.62,Confidential,Waf,5,8.1,Command And Control,T1566,3,9.729,<4h,2024-01-10,19
1265,2023-09-01 13:28:00,163,47,2,Insider,Medium,Closed,3,4,9,2787.47,Internal,Unknown,1,4.7,Defense Evasion,T1059,2,2.038,<4h,2023-09-01,13
1266,2024-12-14 20:51:00,56,291,50,Phishing,Medium,Closed,2,7,6,571.9,Public,Edr,1,5.5,Initial Access,T1210,2,2.149,<4h,2024-12-14,20
1267,2023-07-01 14:24:00,271,125,45,Phishing,Medium,Closed,5,4,2,176.9,Restricted,Email Gateway,1,10.0,Command And Control,T1003,2,2.773,4-24h,2023-07-01,14
1268,2024-07-28 01:38:00,68,490,1,Ransomware,Medium,Closed,3,5,7,2476.8,Internal,Ids,1,4.0,Discovery,T1059,2,1.941,<4h,2024-07-28,1
1269,2023-08-29 16:33:00,286,357,26,Phishing,Medium,Closed,4,3,10,522.07,Confidential,Siem,4,4.1,Persistence,T1210,2,4.539,<4h,2023-08-29,16
1270,2024-07-24 13:26:00,30,333,50,Phishing,High,Closed,2,2,2,4868.38,Internal,Email Gateway,4,3.3,Command And Control,T1021,3,6.422,<4h,2024-07-24,13
1271,2025-03-22 14:34:00,227,287,20,Credential Stuffing,Low,In Progress,17,5,14,2741.66,Public,Siem,2,4.2,Persistence,T1003,1,1.56,4-24h,2025-03-22,14
1272,2024-12-24 10:32:00,173,287,35,Ransomware,Medium,Closed,2,7,6,3326.14,Internal,Waf,2,6.6,Discovery,T1547,2,3.647,<4h,2024-12-24,10
1273,2024-03-08 11:50:00,163,295,12,Phishing,Medium,Closed,7,3,8,816.0,Internal,Email Gateway,6,7.4,Persistence,T1041,2,6.772,4-24h,2024-03-08,11
1274,2024-09-21 03:05:00,220,341,2,Ransomware,Low,Closed,8,6,4,2342.03,Internal,Siem,2,7.9,Initial Access,T1190,1,1.967,4-24h,2024-09-21,3
1275,2023-02-13 04:51:00,158,382,41,Ransomware,High,Open,2,10,12,3416.18,Public,Siem,4,5.9,Exfiltration,T1565,3,7.677,<4h,2023-02-13,4
1276,2025-06-18 07:04:00,122,135,42,Insider,Medium,Open,8,10,4,1504.78,Confidential,Edr,1,6.7,Discovery,T1210,2,2.315,4-24h,2025-06-18,7
1277,2023-03-12 06:00:00,166,349,31,Malware,High,Closed,5,5,8,5939.86,Confidential,Edr,2,7.0,Command And Control,T1078,3,5.603,4-24h,2023-03-12,6
1278,2024-10-10 20:27:00,285,187,44,Insider,High,Closed,8,11,3,3471.38,Confidential,Edr,3,4.2,Defense Evasion,T1041,3,5.906,4-24h,2024-10-10,20
1279,2023-10-19 16:33:00,197,396,38,Malware,Low,Closed,9,1,9,1175.18,Internal,Email Gateway,2,9.5,Collection,T1059,1,2.142,4-24h,2023-10-19,16
1280,2024-05-26 22:59:00,114,434,29,Ddos,Low,Closed,8,2,5,95.42,Internal,Waf,3,10.0,Collection,T1041,1,2.773,4-24h,2024-05-26,22
1281,2024-10-20 13:09:00,4,133,24,Malware,Medium,Closed,9,2,12,3097.01,Confidential,Email Gateway,4,9.5,Persistence,T1210,2,6.277,4-24h,2024-10-20,13
1282,2023-10-22 06:04:00,270,224,12,Phishing,Low,Closed,3,5,4,2276.55,Internal,Waf,1,10.0,Command And Control,T1566,1,1.386,<4h,2023-10-22,6
1283,2025-01-24 04:12:00,33,130,13,Ddos,Medium,Open,11,6,6,2720.97,Confidential,Email Gateway,3,4.1,Persistence,T1565,2,3.909,4-24h,2025-01-24,4
1284,2023-01-08 20:19:00,48,61,25,Insider,Low,Open,14,4,8,452.63,Confidential,Waf,3,8.1,Initial Access,T1566,1,2.509,4-24h,2023-01-08,20
1285,2024-06-16 07:26:00,135,502,11,Phishing,Low,Open,21,1,2,1332.95,Public,Siem,1,6.9,Command And Control,T1003,1,1.171,4-24h,2024-06-16,7
1286,2023-12-20 00:34:00,85,483,26,Ddos,Medium,In Progress,3,3,12,396.95,Internal,Email Gateway,4,6.6,Execution,T1565,2,5.343,<4h,2023-12-20,0
1287,2024-04-11 05:50:00,93,359,31,Insider,High,Closed,14,7,19,4959.24,Internal,User Report,3,5.7,Discovery,T1041,3,6.529,4-24h,2024-04-11,5
1288,2025-02-03 11:35:00,137,496,9,Exploitation,Medium,Closed,3,3,8,4389.1,Internal,User Report,3,10.0,Persistence,T1547,2,5.545,<4h,2025-02-03,11
1289,2023-02-03 10:09:00,47,524,50,Exploitation,Low,Closed,7,5,1,638.21,Public,Waf,4,6.5,Collection,T1021,1,2.656,4-24h,2023-02-03,10
1290,2025-07-10 21:35:00,124,105,26,Phishing,Medium,Open,7,6,2,3606.62,Confidential,Edr,8,10.0,Command And Control,T1059,2,8.789,4-24h,2025-07-10,21
1291,2025-01-05 14:07:00,241,180,5,Phishing,High,Closed,21,4,3,3478.76,Restricted,User Report,3,5.6,Impact,T1078,3,6.488,4-24h,2025-01-05,14
1292,2023-07-23 14:50:00,112,579,42,Phishing,Medium,Closed,6,5,12,2405.36,Confidential,Email Gateway,5,5.6,Persistence,T1190,2,5.59,4-24h,2023-07-23,14
1293,2023-11-30 05:11:00,80,591,37,Phishing,Low,In Progress,5,6,6,2289.09,Internal,Email Gateway,3,6.6,Privilege Escalation,T1021,1,2.301,4-24h,2023-11-30,5
1294,2025-06-21 05:06:00,219,335,43,Phishing,Medium,Closed,7,2,8,1455.33,Public,Email Gateway,3,4.6,Execution,T1565,2,4.048,4-24h,2025-06-21,5
1295,2023-11-07 07:35:00,282,148,16,Unknown,High,Closed,8,6,4,1815.54,Confidential,Siem,4,9.8,Discovery,T1565,3,9.56,4-24h,2023-11-07,7
1296,2024-01-08 22:15:00,296,554,14,Malware,Medium,Open,6,7,11,471.15,Internal,Ids,5,4.2,Command And Control,T1041,2,5.089,4-24h,2024-01-08,22
1297,2023-10-01 13:07:00,251,475,48,Malware,Low,Closed,7,6,5,3006.15,Public,Waf,7,7.3,Collection,T1078,1,3.597,4-24h,2023-10-01,13
1298,2023-06-15 12:18:00,127,21,37,Malware,High,Closed,10,3,3,7514.38,Internal,Ids,2,0.4,Defense Evasion,T1041,3,3.428,4-24h,2023-06-15,12
1299,2024-08-14 15:39:00,60,185,29,Phishing,Medium,Closed,13,5,5,1541.68,Restricted,Email Gateway,4,3.9,Exfiltration,T1003,2,4.474,4-24h,2024-08-14,15
1300,2023-01-03 05:36:00,90,451,5,Ransomware,Low,Closed,12,2,2,501.98,Public,Siem,1,2.6,Initial Access,T1210,1,0.873,4-24h,2023-01-03,5
1301,2023-09-10 21:57:00,240,540,32,Phishing,High,Closed,4,2,7,2483.58,Internal,Waf,6,5.5,Execution,T1078,3,9.048,<4h,2023-09-10,21
1302,2024-05-17 22:57:00,168,142,38,Exploitation,Medium,In Progress,30,5,7,1463.39,Restricted,Email Gateway,7,6.4,Command And Control,T1078,2,6.821,1-3d,2024-05-17,22
1303,2023-05-14 04:01:00,51,138,24,Phishing,Low,Open,13,3,6,3320.92,Restricted,User Report,4,4.6,Initial Access,T1055,1,2.35,4-24h,2023-05-14,4
1304,2023-07-12 05:02:00,23,272,49,Insider,Low,Open,5,3,3,4010.45,Public,Email Gateway,3,10.0,Collection,T1547,1,2.773,4-24h,2023-07-12,5
1305,2025-04-10 21:56:00,239,532,33,Malware,Medium,Closed,6,3,7,2511.61,Confidential,Email Gateway,2,4.7,Exfiltration,T1003,2,3.23,4-24h,2025-04-10,21
1306,2023-12-24 21:13:00,191,527,23,Ransomware,Medium,Closed,27,11,5,3474.17,Confidential,Siem,2,4.9,Privilege Escalation,T1565,2,3.274,1-3d,2023-12-24,21
1307,2024-07-01 12:59:00,32,42,13,Ransomware,Low,Closed,7,3,11,228.62,Public,Edr,2,9.1,Defense Evasion,T1041,1,2.098,4-24h,2024-07-01,12
1308,2023-08-30 12:41:00,42,587,37,Malware,High,Closed,26,5,6,2686.98,Public,Ids,3,4.3,Execution,T1003,3,5.947,1-3d,2023-08-30,12
1309,2023-03-10 11:53:00,84,216,47,Phishing,Low,Closed,16,7,26,3884.95,Confidential,Email Gateway,2,8.2,Execution,T1190,1,1.999,4-24h,2023-03-10,11
1310,2025-03-08 04:41:00,296,172,50,Malware,Critical,Closed,10,6,10,2852.4,Confidential,Waf,4,7.0,Exfiltration,T1210,4,10.944,4-24h,2025-03-08,4
1311,2024-11-10 00:05:00,156,204,31,Exploitation,High,Closed,2,7,4,10159.16,Restricted,Ids,3,4.8,Impact,T1055,3,6.155,<4h,2024-11-10,0
1312,2023-07-17 01:39:00,101,6,37,Exploitation,Low,Closed,6,1,5,3635.92,Internal,User Report,1,8.2,Collection,T1566,1,1.262,4-24h,2023-07-17,1
1313,2023-08-04 21:37:00,256,96,39,Exploitation,High,Closed,4,11,6,5971.98,Confidential,Edr,5,7.1,Persistence,T1021,3,9.192,<4h,2023-08-04,21
1314,2023-02-19 20:09:00,78,119,14,Credential Stuffing,Critical,In Progress,11,4,3,7687.2,Restricted,Siem,5,7.6,Execution,T1565,4,12.614,4-24h,2023-02-19,20
1315,2025-08-04 22:29:00,210,478,49,Ddos,Critical,Closed,14,6,4,1.34,Public,Waf,2,3.1,Persistence,T1190,4,5.757,4-24h,2025-08-04,22
1316,2023-04-28 19:49:00,46,119,8,Exploitation,High,Closed,13,2,1,1470.34,Internal,Unknown,2,9.9,Lateral Movement,T1566,3,6.559,4-24h,2023-04-28,19
1317,2023-05-13 05:02:00,62,33,29,Insider,Medium,Closed,4,12,14,1273.66,Internal,Siem,7,8.8,Discovery,T1565,2,7.819,<4h,2023-05-13,5
1318,2025-01-30 16:48:00,225,255,13,Exploitation,Medium,Closed,1,3,15,244.86,Public,Email Gateway,4,8.5,Privilege Escalation,T1190,2,5.955,<4h,2025-01-30,16
1319,2023-10-28 18:12:00,221,390,22,Ddos,Medium,Closed,8,17,4,689.78,Confidential,Siem,4,5.8,Command And Control,T1190,2,5.086,4-24h,2023-10-28,18
1320,2024-11-07 05:29:00,155,534,7,Malware,Low,Closed,5,3,9,1826.87,Internal,Siem,4,8.2,Defense Evasion,T1059,1,2.929,4-24h,2024-11-07,5
1321,2023-04-13 02:18:00,12,572,44,Phishing,Low,Closed,18,9,10,129.13,Restricted,User Report,1,5.8,Impact,T1055,1,1.095,4-24h,2023-04-13,2
1322,2023-05-24 10:55:00,5,591,43,Unknown,High,Closed,10,2,2,1266.86,Confidential,Ids,3,8.5,Persistence,T1059,3,7.694,4-24h,2023-05-24,10
1323,2024-09-02 09:24:00,66,18,38,Exploitation,Medium,Closed,7,9,1,2248.92,Internal,Siem,5,5.9,Discovery,T1210,2,5.698,4-24h,2024-09-02,9
1324,2025-01-08 12:53:00,34,2,14,Credential Stuffing,Low,Closed,8,3,5,555.99,Internal,Waf,10,7.6,Impact,T1547,1,4.22,4-24h,2025-01-08,12
1325,2024-09-02 11:08:00,299,509,2,Exploitation,High,Closed,6,5,1,3066.82,Public,Edr,3,5.3,Privilege Escalation,T1003,3,6.363,4-24h,2024-09-02,11
1326,2023-05-02 04:17:00,98,435,23,Credential Stuffing,High,In Progress,5,1,6,2280.24,Confidential,Email Gateway,5,4.4,Discovery,T1055,3,7.74,4-24h,2023-05-02,4
1327,2024-01-11 12:19:00,67,218,2,Phishing,Medium,Closed,11,15,19,1241.84,Public,Ids,3,5.5,Execution,T1059,2,4.298,4-24h,2024-01-11,12
1328,2023-01-27 04:30:00,28,433,8,Exploitation,Medium,In Progress,2,4,1,1267.59,Public,Ids,4,9.2,Exfiltration,T1059,2,6.18,<4h,2023-01-27,4
1329,2024-05-05 07:35:00,254,285,4,Exploitation,High,Closed,2,1,9,2505.32,Internal,Siem,1,4.6,Exfiltration,T1547,3,3.036,<4h,2024-05-05,7
1330,2023-03-04 14:46:00,44,442,28,Malware,Low,In Progress,4,14,2,460.35,Internal,Email Gateway,3,6.9,Initial Access,T1021,1,2.343,<4h,2023-03-04,14
1331,2023-08-22 04:08:00,145,544,42,Insider,Low,Closed,11,6,10,3375.26,Internal,Edr,1,3.3,Discovery,T1210,1,0.922,4-24h,2023-08-22,4
1332,2023-09-25 05:52:00,4,228,45,Insider,High,Open,20,6,1,4290.14,Public,Waf,6,4.1,Defense Evasion,T1190,3,8.231,4-24h,2023-09-25,5
1333,2023-09-13 01:07:00,9,372,26,Phishing,Low,Closed,8,6,12,2139.65,Public,Unknown,1,9.9,Exfiltration,T1565,1,1.379,4-24h,2023-09-13,1
1334,2024-04-07 11:27:00,158,67,24,Exploitation,Low,Open,15,3,13,2673.74,Internal,User Report,1,7.5,Exfiltration,T1565,1,1.213,4-24h,2024-04-07,11
1335,2025-03-08 11:23:00,146,436,12,Ddos,Medium,Closed,17,7,3,1140.53,Internal,Siem,7,2.0,Defense Evasion,T1003,2,4.991,4-24h,2025-03-08,11
1336,2025-05-11 03:08:00,129,473,28,Phishing,Medium,Closed,23,6,7,2928.22,Internal,Edr,2,7.5,Execution,T1190,2,3.845,4-24h,2025-05-11,3
1337,2024-07-22 01:49:00,61,527,8,Malware,Low,Closed,10,3,3,2809.49,Internal,Edr,4,6.6,Privilege Escalation,T1190,1,2.672,4-24h,2024-07-22,1
1338,2025-04-05 23:50:00,212,568,15,Exploitation,Medium,Closed,8,5,3,3062.69,Internal,Edr,4,4.5,Collection,T1021,2,4.667,4-24h,2025-04-05,23
1339,2023-10-10 02:31:00,83,434,34,Malware,Medium,Closed,36,10,4,1503.44,Confidential,Edr,5,5.8,Command And Control,T1190,2,5.662,1-3d,2023-10-10,2
1340,2024-06-13 03:51:00,188,459,7,Phishing,Medium,Open,15,2,9,1128.53,Internal,Siem,5,4.1,Exfiltration,T1190,2,5.053,4-24h,2024-06-13,3
1341,2025-06-08 23:06:00,176,63,30,Insider,Medium,Closed,15,1,9,3788.19,Confidential,Edr,2,8.9,Privilege Escalation,T1055,2,4.153,4-24h,2025-06-08,23
1342,2023-02-13 13:28:00,53,253,4,Phishing,High,In Progress,7,1,2,5218.9,Internal,User Report,1,4.2,Privilege Escalation,T1210,3,2.953,4-24h,2023-02-13,13
1343,2023-03-23 01:52:00,148,370,34,Malware,Medium,Closed,2,4,1,1174.09,Public,Ids,3,3.1,Collection,T1041,2,3.632,<4h,2023-03-23,1
1344,2023-07-24 12:11:00,59,202,2,Ransomware,Low,Open,8,8,20,4417.77,Public,Edr,5,6.8,Exfiltration,T1021,1,3.01,4-24h,2023-07-24,12
1345,2023-07-06 11:34:00,271,364,29,Ddos,Medium,Closed,4,5,15,4472.32,Internal,User Report,2,6.2,Lateral Movement,T1547,2,3.56,<4h,2023-07-06,11
1346,2023-09-17 15:01:00,105,124,36,Exploitation,Medium,Closed,6,5,10,2957.48,Restricted,Unknown,1,4.6,Discovery,T1078,2,2.024,4-24h,2023-09-17,15
1347,2024-11-18 06:38:00,207,161,29,Credential Stuffing,Critical,Closed,3,9,1,2126.14,Confidential,Ids,6,5.3,Lateral Movement,T1021,4,11.909,<4h,2024-11-18,6
1348,2024-03-23 04:05:00,181,600,5,Exploitation,Low,Closed,17,11,2,2556.94,Confidential,Email Gateway,3,7.3,Privilege Escalation,T1059,1,2.398,4-24h,2024-03-23,4
1349,2024-12-17 15:01:00,17,59,18,Credential Stuffing,Low,Closed,3,15,12,4166.88,Confidential,User Report,6,8.1,Lateral Movement,T1021,1,3.522,<4h,2024-12-17,15
1350,2023-04-13 09:21:00,13,70,8,Malware,Critical,Open,10,2,2,4971.8,Internal,Edr,4,5.8,Collection,T1547,4,10.172,4-24h,2023-04-13,9
1351,2024-05-12 21:29:00,64,259,3,Exploitation,Medium,In Progress,17,4,12,260.26,Confidential,Edr,1,5.0,Impact,T1041,2,2.079,4-24h,2024-05-12,21
1352,2024-08-22 07:34:00,283,70,46,Ddos,Low,Closed,2,12,10,150.94,Internal,Email Gateway,7,7.7,Impact,T1041,1,3.681,<4h,2024-08-22,7
1353,2024-08-10 00:20:00,128,68,21,Malware,Low,Closed,18,4,5,2874.28,Internal,Siem,4,4.4,Initial Access,T1041,1,2.318,4-24h,2024-08-10,0
1354,2024-09-17 19:32:00,20,305,42,Phishing,High,Closed,36,9,6,9334.88,Public,Unknown,1,7.2,Collection,T1021,3,3.577,1-3d,2024-09-17,19
1355,2025-03-13 19:33:00,253,230,42,Exploitation,Medium,In Progress,37,7,3,842.34,Confidential,Edr,4,7.2,Privilege Escalation,T1003,2,5.536,1-3d,2025-03-13,19
1356,2024-08-27 14:43:00,62,425,25,Ddos,Medium,Closed,23,1,4,1854.59,Internal,Email Gateway,2,6.5,Command And Control,T1041,2,3.625,4-24h,2024-08-27,14
1357,2023-04-15 13:58:00,196,102,10,Ddos,High,Closed,13,14,10,114.24,Restricted,Siem,5,3.0,Collection,T1041,3,6.988,4-24h,2023-04-15,13
1358,2023-02-20 15:30:00,293,273,16,Insider,Low,Closed,7,2,10,5988.12,Internal,Siem,1,6.7,Persistence,T1210,1,1.158,4-24h,2023-02-20,15
1359,2024-03-23 05:13:00,264,297,38,Phishing,High,In Progress,2,1,4,4582.84,Public,Email Gateway,3,4.8,Execution,T1547,3,6.155,<4h,2024-03-23,5
1360,2024-04-01 00:04:00,136,170,28,Exploitation,Medium,Closed,33,11,6,75.73,Internal,Waf,5,5.7,Persistence,T1190,2,5.626,1-3d,2024-04-01,0
1361,2023-08-08 14:03:00,264,472,35,Phishing,High,Closed,5,2,8,3827.46,Unknown,Siem,4,7.2,Execution,T1566,3,8.305,4-24h,2023-08-08,14
1362,2024-02-25 01:53:00,82,29,41,Ddos,Medium,In Progress,5,4,10,1304.22,Confidential,Waf,5,3.8,Impact,T1041,2,4.945,4-24h,2024-02-25,1
1363,2023-04-08 17:51:00,43,241,24,Phishing,Medium,Closed,16,9,11,2665.43,Public,Waf,2,4.7,Exfiltration,T1547,2,3.23,4-24h,2023-04-08,17
1364,2024-06-09 19:32:00,300,460,10,Phishing,Medium,Closed,3,15,17,4033.69,Confidential,Edr,1,4.3,Execution,T1003,2,1.982,<4h,2024-06-09,19
1365,2023-01-23 23:53:00,276,516,41,Phishing,Low,Closed,2,4,2,1099.73,Public,Email Gateway,2,7.3,Defense Evasion,T1565,1,1.901,<4h,2023-01-23,23
1366,2024-06-04 00:52:00,37,560,26,Exploitation,Medium,Closed,14,3,24,893.83,Internal,Ids,9,7.5,Defense Evasion,T1055,2,8.059,4-24h,2024-06-04,0
1367,2023-05-22 05:48:00,62,463,23,Malware,Medium,Closed,6,5,6,962.51,Internal,Email Gateway,6,8.2,Command And Control,T1078,2,7.083,4-24h,2023-05-22,5
1368,2024-08-07 14:32:00,192,449,1,Insider,Low,In Progress,16,3,4,3047.49,Restricted,Email Gateway,5,3.6,Persistence,T1190,1,2.437,4-24h,2024-08-07,14
1369,2025-04-11 00:16:00,277,48,27,Malware,High,Open,6,4,4,6648.1,Confidential,User Report,5,8.7,Discovery,T1003,3,10.052,4-24h,2025-04-11,0
1370,2024-11-13 02:53:00,93,194,25,Exploitation,Low,Closed,4,4,3,700.54,Public,Email Gateway,4,10.0,Execution,T1041,1,3.219,<4h,2024-11-13,2
1371,2024-09-01 12:05:00,44,162,33,Phishing,Low,Closed,8,7,4,2757.26,Confidential,User Report,3,7.7,Impact,T1547,1,2.454,4-24h,2024-09-01,12
1372,2023-10-04 05:38:00,217,574,33,Exploitation,Critical,Closed,3,6,10,1721.96,Confidential,Siem,2,7.6,Collection,T1021,4,7.734,<4h,2023-10-04,5
1373,2024-08-15 21:59:00,245,52,18,Malware,Low,Closed,13,1,12,225.95,Internal,Edr,2,5.4,Exfiltration,T1210,1,1.692,4-24h,2024-08-15,21
1374,2023-08-23 22:07:00,133,91,38,Exploitation,Low,Closed,3,14,7,1202.89,Internal,User Report,5,6.8,Execution,T1210,1,3.01,<4h,2023-08-23,22
1375,2024-03-13 01:31:00,283,255,12,Phishing,Medium,Open,8,19,8,4143.98,Confidential,User Report,3,8.7,Defense Evasion,T1565,2,5.185,4-24h,2024-03-13,1
1376,2025-07-04 22:35:00,286,230,22,Unknown,Medium,Closed,3,2,7,2882.71,Internal,Unknown,3,5.2,Lateral Movement,T1210,2,4.214,<4h,2025-07-04,22
1377,2023-04-20 14:37:00,204,187,19,Malware,High,Closed,28,2,7,3278.2,Internal,Waf,3,4.2,Initial Access,T1547,3,5.906,1-3d,2023-04-20,14
1378,2025-08-06 13:44:00,145,386,25,Malware,Low,Closed,2,21,5,481.31,Confidential,Email Gateway,5,6.9,Privilege Escalation,T1041,1,3.028,<4h,2025-08-06,13
1379,2025-08-16 19:27:00,14,273,29,Malware,Medium,Closed,1,8,2,4323.34,Confidential,Email Gateway,3,10.0,Defense Evasion,T1059,2,5.545,<4h,2025-08-16,19
1380,2023-03-08 14:00:00,79,575,22,Phishing,Low,In Progress,11,1,5,1168.08,Internal,Edr,3,5.7,Lateral Movement,T1059,1,2.176,4-24h,2023-03-08,14
1381,2023-06-13 11:37:00,125,417,18,Phishing,High,Closed,2,6,10,6323.1,Public,Email Gateway,7,5.1,Command And Control,T1059,3,9.42,<4h,2023-06-13,11
1382,2023-01-01 16:36:00,114,273,35,Phishing,Medium,Closed,13,4,6,181.4,Unknown,User Report,4,6.0,Command And Control,T1055,2,5.15,4-24h,2023-01-01,16
1383,2023-08-22 19:02:00,224,141,17,Malware,Medium,Closed,5,5,7,1091.39,Restricted,User Report,4,8.3,Collection,T1059,2,5.891,4-24h,2023-08-22,19
1384,2025-02-09 16:28:00,295,70,28,Phishing,Low,Open,4,12,9,313.02,Internal,Unknown,3,4.9,Exfiltration,T1566,1,2.066,<4h,2025-02-09,16
1385,2023-04-02 09:04:00,110,116,38,Ransomware,Low,Closed,4,3,3,1189.59,Confidential,Waf,2,8.3,Privilege Escalation,T1210,1,2.01,<4h,2023-04-02,9
1386,2024-11-08 19:40:00,84,210,46,Ddos,Medium,Closed,10,16,1,1713.03,Internal,User Report,3,6.9,Execution,T1078,2,4.686,4-24h,2024-11-08,19
1387,2023-08-07 15:46:00,209,1,22,Ddos,Medium,In Progress,5,4,32,3657.3,Confidential,Siem,1,4.9,Privilege Escalation,T1190,2,2.066,4-24h,2023-08-07,15
1388,2025-07-29 08:20:00,285,524,7,Ransomware,Low,Closed,7,2,15,1493.53,Confidential,User Report,7,10.0,Discovery,T1190,1,4.159,4-24h,2025-07-29,8
1389,2025-07-20 05:23:00,143,310,32,Malware,Low,Closed,3,1,6,4024.56,Public,Siem,3,10.0,Defense Evasion,T1566,1,2.773,<4h,2025-07-20,5
